Registro,Nombre del Buque,Longitud del Buque (Eslora),Muelle Asignado,Retraso Estimado (Horas)
24430,CAP. TINO B,34.98,Marginal,103.01
24429,MARY LYNN,33.46,Marginal,88.88
24417,DON ALVARO,39.74,Marginal,128.99
24425,TARQUI,49.08,Marginal,101.89
24418,GINO D,53.45,Fondeo no comercial,1680.42
24434,DOMINADOR I,46.88,Marginal,98.55
24433,JOCHOH,120.75,Internacional,75.13
24432,KONTIKI WAYRA,38.25,Fondeo no comercial,627.29
24431,AMALIS,44.05,Fondeo no comercial,128.08
24426,JOCAY,91.1,Fondeo no comercial,221.07
24423,DANIELA,59.77,Fondeo no comercial,650.58
24424,SISARGAS,79.8,Fondeo no comercial,1129.54
24422,TEMPLARIO I,65.26,Fondeo no comercial,1226.53
24427,L JUBICA,89.28,Fondeo no comercial,11.95
24428,JORGE MARIO,56.2,Fondeo no comercial,17.52
24416,DON BARTOLO,50.04,Fondeo no comercial,144.07
24421,DON IGILIO,62.96,Fondeo no comercial,58.96
24420,PS-1,56.8,Fondeo no comercial,367.52
24419,BARAKA,64.8,Fondeo no comercial,1424.74
24414,EMILIO,72.0,Fondeo no comercial,1474.21
24413,SEA GEM,68.0,Fondeo no comercial,246.65
24412,ROCIO,71.5,Fondeo no comercial,204.68
24411,DOÑA ROGE,56.97,Fondeo no comercial,149.46
24415,ALTAR 10,53.61,Fondeo no comercial,2.06
24409,MARTINA C,72.1,Fondeo no comercial,1535.11
24410,JO LINDA,45.5,Fondeo no comercial,195.96
24408,ADRIA DEL MAR,60.28,Internacional,263.86
24403,GOLD TUNA,56.35,Fondeo no comercial,1156.03
24407,DON F,63.24,Fondeo no comercial,1498.03
24406,CHIARA,61.56,Fondeo no comercial,1497.0
24405,SOHOH,120.75,Internacional,117.59
24404,DOÑA MARUJA,48.5,Fondeo no comercial,100.29
24402,CAP. TINO B,34.98,Marginal,88.92
24399,RIA DE ALDAN,89.4,Fondeo no comercial,164.53
24387,CAP. BERNY B,65.1,Internacional,1661.21
24401,TIUNA,61.96,Fondeo no comercial,87.07
24400,MARTA LUCIA R,78.33,Fondeo no comercial,1274.03
24398,EL DORADO,41.76,Marginal,79.05
24397,EASTERN PACIFIC,42.59,Fondeo no comercial,147.45
24386,DON MARIO,50.43,Marginal,221.25
24388,EILEEN MARIE,51.6,Fondeo no comercial,53.38
24357,JOSELITO,32.56,Marginal,609.73
24353,DOÑA NANCY,35.94,Marginal,2827.23
24352,NORTH QUEEN,35.87,Marginal,49.94
24355,ANDREA 1,78.8,Fondeo no comercial,2042.88
24351,ANTONIO H,46.5,Marginal,101.37
24350,KONTIKI WAYRA,38.25,Marginal,242.47
24349,DON ALVARO,39.74,Fondeo no comercial,81.4
24348,VICTORIA DEL MAR,62.7,Fondeo no comercial,3176.16
24328,MIRY ANN  D,50.04,Fondeo no comercial,47.03
24347,COSMOS,48.55,Fondeo no comercial,68.72
24346,BARAKA,64.8,Fondeo no comercial,51.77
24343,EL CONDE,33.33,Marginal,64.39
24344,DON ANTONIO,38.91,Marginal,80.17
24336,LIZANNY Z,55.68,Fondeo no comercial,56.82
24342,CAP. DANNY B,34.98,Marginal,53.97
24345,SANSUN RANGER,65.14,Internacional,2993.81
24341,PERLA DEL MAR,62.75,Internacional,151.7
24340,MARY LYNN,33.46,Marginal,125.49
24338,MONTELUCIA,91.9,Fondeo no comercial,-2.52
24337,SOUTHERN QUEEN,36.8,Fondeo no comercial,32.89
24339,KONTIKI WAYRA,38.25,Fondeo no comercial,31.1
24335,MARTINA C,72.1,Fondeo no comercial,5.07
24334,CHIARA,61.56,Fondeo no comercial,2.33
24331,JOSELITO,32.56,Marginal,99.35
24333,ANDREA,33.95,Marginal,103.22
24332,GIULIETTA,61.56,Fondeo no comercial,2937.38
24329,MARIA DE GRACIA,36.58,Marginal,131.92
24330,GLORIA C,31.45,Marginal,218.81
23307,SOUTHERN QUEEN,36.8,Marginal,28.35
23301,CAP. BERNY B,65.1,Fondeo no comercial,91.84
23304,ANTONIO H,46.5,Fondeo no comercial,167.9
23297,ARIETE,46.0,Marginal,151.9
23296,FARALLON,119.95,Fondeo no comercial,631.19
23295,JANE IV,78.5,Fondeo no comercial,21.35
23293,CAP. DANNY B,34.98,Marginal,100.71
23299,KONTIKI WAYRA,38.25,Marginal,451.35
23292,DON ANTONIO,38.91,Fondeo no comercial,112.35
23288,LIZANNY Z,55.68,Fondeo no comercial,87.7
23291,SOUTHERN QUEEN,36.8,Marginal,117.97
23286,EL CONDE,33.33,Marginal,219.09
23290,UPAR,60.07,Fondeo no comercial,822.28
23287,VICTORIA DEL MAR,62.7,Fondeo no comercial,321.19
23285,JOSELITO,32.56,Marginal,123.3
23284,GOLD TUNA,56.35,Marginal,175.16
23281,FORTICA,33.28,Fondeo no comercial,50.2
23282,LIBERTAD VI,88.22,Fondeo no comercial,30.2
23279,DOÑA TULA,48.0,Fondeo no comercial,79.07
23280,AL-IDRISI,119.1,Fondeo no comercial,241.4
23283,CANAIMA,71.0,Fondeo no comercial,245.07
23278,MARIA DE GRACIA,36.58,Marginal,173.4
23275,GIULIETTA,61.56,Fondeo no comercial,5.82
23276,ALDO,47.85,Fondeo no comercial,171.15
23277,RIO AMAZONAS,120.0,Fondeo no comercial,43.72
23245,DIANA MARIA,36.66,Marginal,40.99
23243,EL CONDE,33.33,Marginal,54.61
23239,CAP. TINO B,34.98,Marginal,1095.85
23242,SEA GEM,68.0,Internacional,718.06
23241,KONTIKI WAYRA,38.25,Fondeo no comercial,595.06
23238,SANSUN RANGER,65.14,Fondeo no comercial,200.94
23240,CAPT. VINCENT GANN,67.3,Fondeo no comercial,243.78
23237,GINO D,53.45,Fondeo no comercial,91.57
23236,MIRANDA,63.61,Fondeo no comercial,55.36
23235,LIZANNY Z,55.68,Fondeo no comercial,144.5
23234,FORTICA,33.28,Fondeo no comercial,68.47
23233,DOÑA TULA,48.0,Marginal,135.53
23229,DIANA MARIA,36.66,Marginal,127.47
23232,MARIA DE GRACIA,36.58,Fondeo no comercial,119.1
23230,DOÑA LUCIA,69.02,Fondeo no comercial,381.62
23227,JOSELITO,32.56,Fondeo no comercial,214.16
23228,CHIARA,61.56,Fondeo no comercial,99.68
23226,KONTIKI WAYRA,38.25,Fondeo no comercial,95.41
23225,BARAKA,64.8,Fondeo no comercial,214.83
23224,ISABELLA,62.4,Fondeo no comercial,65.35
23223,ALMIRANTE I,66.0,Fondeo no comercial,171.37
23222,DOÑA NANCY,35.94,Marginal,104.29
23217,ALEXA R.,22.88,Fondeo no comercial,25.09
23221,SOUTHERN QUEEN,36.8,Fondeo no comercial,32.86
23220,MARY LYNN,33.46,Marginal,76.37
23219,DOMINADOR I,46.88,Internacional,966.01
23218,NAZCA,74.25,Fondeo no comercial,984.75
23216,FORTICA,33.28,Fondeo no comercial,100.5
23214,SOUTHERN QUEEN,36.8,Marginal,99.32
23215,LOS ROQUES,65.39,Fondeo no comercial,2713.94
23213,EL CONDE,33.33,Fondeo no comercial,55.1
23209,AMADA ISABEL,56.94,Fondeo no comercial,1680.78
23211,CAPE MAY,61.05,Fondeo no comercial,327.41
23212,CAPE FINISTERRE,211.6,Fondeo no comercial,192.32
23210,MILENKA C,46.0,Fondeo no comercial,27.71
23174,VENTUARI,67.68,Fondeo no comercial,1719.15
23171,ALESSIA,56.9,Fondeo no comercial,2123.04
23170,UGAVI,81.0,Internacional,94.58
23167,DON ALVARO,39.74,Fondeo no comercial,1805.16
23166,CAP. DANNY B,34.98,Marginal,105.22
23165,PACIFIC TUNA,68.83,Fondeo no comercial,1955.38
23169,SEA GEM,68.0,Fondeo comercial,327.61
23163,ARIETE,46.0,Marginal,64.07
23168,DOÑA MARUJA,48.5,Fondeo no comercial,1613.31
23162,MARIA FATIMA,32.4,Fondeo no comercial,849.38
23160,MONTECRISTI,41.1,Marginal,378.91
23159,TARQUI,49.08,Marginal,1737.94
23161,LUCY,42.63,Marginal,1737.45
23158,LUCIA T,52.52,Fondeo no comercial,1366.13
23164,DIANA MARIA,36.66,Marginal,28.34
23156,CAP. TINO B,34.98,Marginal,382.68
